4,0 1 2 3 5 6,10,0.0002,4
1,0 2 3 4 5 6,5,0.01,1
1,0 2 3 4 5 6,20,5e-05,4
1,0 2 3 4 5 6,20,0.001,3
5,0 1 2 3 4 6,5,0.001,1
0,1 2 3 4 5 6,10,0.01,3
2,0 1 3 4 5 6,20,0.01,1
3,0 1 2 4 5 6,5,0.01,3
2,0 1 3 4 5 6,30,0.01,3
6,0 1 2 3 4 5,10,1e-05,1
6,0 1 2 3 4 5,10,0.001,1
4,0 1 2 3 5 6,5,0.01,1
0,1 2 3 4 5 6,10,1e-05,1
1,0 2 3 4 5 6,5,0.01,3
6,0 1 2 3 4 5,30,0.0002,4
1,0 2 3 4 5 6,10,0.0002,1
3,0 1 2 4 5 6,5,0.0005,3
1,0 2 3 4 5 6,10,0.01,4
6,0 1 2 3 4 5,30,0.0005,4
6,0 1 2 3 4 5,15,0.0002,4
1,0 2 3 4 5 6,5,1e-05,1
1,0 2 3 4 5 6,15,0.0005,1
1,0 2 3 4 5 6,10,5e-05,3
6,0 1 2 3 4 5,10,0.01,4
6,0 1 2 3 4 5,10,1e-05,3
0,1 2 3 4 5 6,10,1e-05,3
3,0 1 2 4 5 6,30,5e-05,4
2,0 1 3 4 5 6,20,1e-05,1
4,0 1 2 3 5 6,30,0.0005,4
0,1 2 3 4 5 6,10,0.001,4
6,0 1 2 3 4 5,5,1e-05,4
1,0 2 3 4 5 6,10,0.0002,3
2,0 1 3 4 5 6,5,0.01,4
3,0 1 2 4 5 6,30,0.01,4
3,0 1 2 4 5 6,30,0.001,3
1,0 2 3 4 5 6,5,1e-05,3
1,0 2 3 4 5 6,15,1e-05,4
4,0 1 2 3 5 6,20,1e-05,1
3,0 1 2 4 5 6,20,0.0002,4
4,0 1 2 3 5 6,30,0.0002,3
4,0 1 2 3 5 6,10,0.0002,1
1,0 2 3 4 5 6,20,5e-05,1
3,0 1 2 4 5 6,5,0.0002,4
4,0 1 2 3 5 6,20,0.001,4
4,0 1 2 3 5 6,5,1e-05,4
2,0 1 3 4 5 6,10,0.0002,4
4,0 1 2 3 5 6,5,0.001,4
0,1 2 3 4 5 6,5,5e-05,1
5,0 1 2 3 4 6,20,1e-05,1
5,0 1 2 3 4 6,15,0.01,4
6,0 1 2 3 4 5,30,0.0002,1
1,0 2 3 4 5 6,20,5e-05,3
6,0 1 2 3 4 5,20,0.0005,3
1,0 2 3 4 5 6,10,0.01,1
5,0 1 2 3 4 6,20,1e-05,3
5,0 1 2 3 4 6,5,0.001,3
2,0 1 3 4 5 6,5,5e-05,1
6,0 1 2 3 4 5,10,5e-05,4
1,0 2 3 4 5 6,5,0.001,1
0,1 2 3 4 5 6,5,0.0005,1
6,0 1 2 3 4 5,20,1e-05,4
5,0 1 2 3 4 6,30,0.0002,4
5,0 1 2 3 4 6,10,0.01,3
5,0 1 2 3 4 6,5,0.0005,1
6,0 1 2 3 4 5,10,0.001,3
2,0 1 3 4 5 6,15,0.0005,1
6,0 1 2 3 4 5,5,1e-05,1
2,0 1 3 4 5 6,5,0.01,1
1,0 2 3 4 5 6,20,1e-05,4
1,0 2 3 4 5 6,10,0.01,3
1,0 2 3 4 5 6,20,0.001,4
4,0 1 2 3 5 6,10,5e-05,1
1,0 2 3 4 5 6,5,5e-05,4
3,0 1 2 4 5 6,20,0.0002,1
4,0 1 2 3 5 6,15,0.01,1
4,0 1 2 3 5 6,10,0.01,4
6,0 1 2 3 4 5,5,0.001,4
2,0 1 3 4 5 6,5,5e-05,3
1,0 2 3 4 5 6,5,0.001,3
2,0 1 3 4 5 6,20,5e-05,4
5,0 1 2 3 4 6,5,0.0005,3
2,0 1 3 4 5 6,30,0.0002,1
